,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Super Charger,Turning Radius
0,chennai,Petrol,SUV,"20,000",Automatic,1,Kia,Kia Sonet,2022,8654,Turbo DCT Anniversary Edition,1150000.0,2022,Third Party insurance,Petrol,5,20000,TN02,998 cc,Automatic,2022,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",998,118.36bhp@6000rpm,172,Black,Smartstream G1.0 T - GDi,998,172nm@1500-4000rpm,3,GDi,Yes,3995,1790,1642,2500,1465,7-Speed DCT,FWD,Electric,Disc,Drum,"Tubeless, Radial",5,392,19.7,,5.0
1,chennai,Petrol,Minivans,"20,687",Manual,1,Maruti,Maruti Eeco,2015,4025,7 Seater Standard BSIV,415000.00000000006,2015,Comprehensive,Petrol,7,20687,TN04,1196 cc,Manual,2015,"Low Fuel Warning Light,Accessory Power Outlet,Heater,Digital Odometer,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",1196,73bhp@6000rpm,101,Grey,In-Line Engine,1196,101Nm@3000rpm,4,MPFi,No,3675,1475,1800,2350,943kg,5 Speed,RWD,Manual,Ventilated Disc,Drum,Tubeless Tyres,5,355,15.37,No,4.5
2,chennai,Petrol,SUV,"30,000",Manual,1,Nissan,Nissan Magnite,2021,8135,Turbo XV Premium BSVI,750000.0,2021,Third Party insurance,Petrol,5,30000,TN22,999 cc,Manual,2021,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",999,98.63bhp@5000rpm,160,Others,HRA0 1.0 TURBO PETROL,999,160Nm@2800-3600rpm,3,MPFi,Yes,3994,1758,1572,2500,1014,5 Speed,,Electronic,Disc,Drum,"Tubeless,Radial",5,336,20.0,No,5.0
3,chennai,Petrol,Hatchback,"59,247",Manual,1,Hyundai,Hyundai i10,2015,1579,Sportz 1.1L,398000.0,2015,Comprehensive,Petrol,5,59247,TN11,1086 cc,Manual,2015,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player",1086,68.05bhp@5500rpm,99,Silver,IRDE2 Engine,1086,99.04Nm@4500rpm,4,MPFI,No,3585,1595,1550,2380,860kg,5 Speed,FWD,Power,Ventilated Disc,Drum,Tubeless,5,355,19.81,No,4.7
4,chennai,Petrol,Hatchback,"50,000",Manual,1,Honda,Honda Jazz,2015,1341,1.2 VX i VTEC,550000.0,2015,Third Party insurance,Petrol,5,50000,KA03,1199 cc,Manual,2015,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",1199,88.7bhp@6000rpm,110,Others,i-VTEC Petrol Engine,1199,110Nm@4800rpm,4,PGM - Fi,No,3955,1694,1544,2530,1042kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,18.7,No,5.0
5,chennai,Diesel,Sedan,"20,000",Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2016,4570,E250 CDI Avantgarde,3300000.0,2017,Comprehensive,Diesel,5,20000,TN06,2143 cc,Automatic,2016,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player",2143,204bhp@4200rpm,500,White,In-Line Diesel Engine,2143,500Nm@1600-1800rpm,4,CRDI,Yes,4879,2071,1474,2874,1800kg,7 Speed,RWD,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",4,355,13.0,No,5.3
6,chennai,Petrol,Hatchback,"29,403",Automatic,1,Maruti,Maruti Celerio,2016,3995,ZXI AT Optional,453000.0,2016,Comprehensive,Petrol,5,29403,TN09,998 cc,Automatic,2016,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",998,67.04bhp@6000rpm,90,Blue,K10B Engine,998,90Nm@3500rpm,3,MPFi,No,3715,1635,1565,2425,845kg,5 Speed ,FWD,Power,Ventilated Disc,Drum,"Tubeless, Radial",5,355,23.1,No,4.7
7,chennai,Petrol,Hatchback,"42,700",Manual,1,Maruti,Maruti A-Star,2010,3895,Zxi,285000.0,2010,Comprehensive,Petrol,5,42700,TN05,998 cc,Manual,2010,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Child Safety Locks,Cd Player",998,66.1bhp@6200rpm,90,Grey,K Series Petrol Engine,998,90Nm@3500rpm,3,MPFI,No,3500,1600,1490,2360,860-895kg,5 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,355,19.0,No,4.5
8,chennai,Diesel,SUV,"23,001",Automatic,1,BMW,BMW X3,2018,6367,xDrive 20d Luxury Line,5000000.0,2018,Comprehensive,Diesel,5,23001,TN07,1995 cc,Automatic,2018,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",1995,187.7bhp@4000rpm,400,Grey,TwinPower Turbo 4-cylinder engine,1995,400Nm@1750-2500rpm,4,CRDi,Yes,4708,1891,1676,2864,1690,8 Speed,AWD,Power,Disc,Disc,"Tubeless,Radial",5,485,16.55,No,5.95
9,chennai,Petrol,SUV,"25,925",Automatic,2,Ford,Ford Ecosport,2018,6088,1.5 Petrol Titanium Plus AT BSIV,821000.0000000001,2018,Comprehensive,Petrol,5,25925,TN19,1497 cc,Automatic,2018,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",1497,121.36bhp@6500rpm,150,Black,Ti-VCT Petrol Engine,1497,150Nm@4500rpm,3,Direct Injection,No,3998,1765,1647,2519,1320Kg,6 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,355,14.8,No,5.0
10,chennai,Petrol,Hatchback,"20,000",Manual,1,Hyundai,Hyundai i20,2021,8161,Asta Opt BSVI,865000.0,2021,Third Party insurance,Petrol,5,20000,,1197 cc,Manual,2021,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",1197,81.80bhp@6000rpm,114,Blue,1.2 l Kappa petrol,1197,114.74Nm@4200rpm,4,,No,3995,1775,1505,2580,1170,5 Speed,,Electric,Disc,Drum,"Tubeless, Radial",5,311,21.0,,5.0
11,chennai,Petrol,Hatchback,"17,711",Automatic,1,Honda,Honda Jazz,2019,6506,VX CVT,792000.0,2019,Comprehensive,Petrol,5,17711,TN07,1199 cc,Automatic,2019,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",1199,88.7bhp@6000rpm,110,Silver,i-VTEC Petrol Engine,1199,110Nm@4800rpm,4,PGM - Fi,No,3955,1694,1544,2530,1066 Kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,18.2,No,5.0
12,chennai,Diesel,Sedan,"50,000",Automatic,1,BMW,BMW 3 Series,2020,7103,320d Luxury Line,4050000.0,2020,Comprehensive,Diesel,5,50000,TN01,1995 cc,Automatic,2020,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",1995,187.74bhp@4000rpm,400,White,TwinPower Turbo 4 Cylinder Engine,1995,400Nm@1750-2500rpm,4,CRDi,Yes,4709,1827,1435,2810,1560,8 Speed,RWD,Power,Disc,Disc,"Tubeless,Radial",4,355,20.37,No,5.5
13,chennai,Petrol,Hatchback,"50,000",Manual,1,Maruti,Maruti Swift,2018,6324,VXI 2018,610000.0,2018,Third Party insurance,Petrol,5,50000,,1197 cc,Manual,2018,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player",1197,81.80bhp@6000rpm,113,Others,VTVT Engine,1197,113Nm@4200rpm,4,MPFi,No,3840,1735,1530,2450,860Kg,5,,Power,Disc,Drum,Tubeless,5,268,22.0,No,5.0
14,chennai,Petrol,Hatchback,"51,125",Manual,2,Hyundai,Hyundai Grand i10,2018,5602,1.2 Kappa Magna BSIV,511000.00000000006,2019,Comprehensive,Petrol,5,51125,TN24,1197 cc,Manual,2018,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Speakers Front",1197,81.86bhp@6000rpm,113,White,Kappa VTVT Petrol Engine,1197,113.75nm@4000rpm,4,MPFI,No,3765,1660,1520,2425,1100,5 Speed,FWD,Power,Disc,Drum,Tubeless,5,256,18.9,No,4.8
15,chennai,Diesel,SUV,"69,233",Manual,1,Tata,Tata Nexon,2019,5997,1.5 Revotorq XT,710000.0,2019,Comprehensive,Diesel,5,69233,TN18,1497 cc,Manual,2019,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",1497,108.5bhp@3750rpm,260,Orange,"Revotorq, 1.5L Turbocharged engine",1497,260Nm@1500-2750rpm,4,CDI,Yes,3994,1811,1607,2498,1305Kg,6 Speed,FWD,Power,Disc,Drum,Tubeless Radial Tyres,5,350,21.5,No,5.1
16,chennai,Diesel,SUV,"65,000",Manual,1,Jeep,Jeep Compass,2017,10938,2.0 Sport,1225000.0,2017,Comprehensive,Diesel,5,65000,TN03,1956 cc,Manual,2017,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",1956,167.67bhp@3750rpm,350,White,2.0L Multijet Diesel,1956,350Nm@1750-2500rpm,4,,Yes,4405,1818,1640,2636,1565,6 Speed,4x2,Power,Disc,Disc,"Tubeless, Radial",5,355,17.1,,5.0
17,chennai,Petrol,Sedan,"93,281",Manual,1,Honda,Honda City,2014,1280,i VTEC VX,570000.0,2014,Comprehensive,Petrol,5,93281,TN14,1497 cc,Manual,2014,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",1497,117.3bhp@6600rpm,145,Brown,i VTEC Engine,1497,145Nm@4600rpm,4,PGM-Fi,No,4440,1695,1495,2600,1065kg,5 Speed ,FWD,Power,Disc,Drum,"Tubeless,Radial",4,355,17.4,No,5.3
18,chennai,Diesel,SUV,"18,000",Manual,1,Toyota,Toyota Fortuner,2022,8243,4X2 Diesel BSVI,3900000.0,2022,Comprehensive,Diesel,7,18000,TN02,2755 cc,Manual,2022,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",2755,201.15bhp@3400rpm,420,White,2.8 L Diesel engine,2755,420Nm@1400-3400rpm,4,Direct Injection,Yes,4795,1855,1835,2745,2220,6 Speed iMT,2WD,,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",5,355,19.7,,5.8
19,chennai,Petrol,Sedan,"99,225",Manual,2,Honda,Honda Amaze,2014,1166,E i-Vtech,375000.0,2014,Comprehensive,Petrol,5,99225,TN01,1198 cc,Manual,2014,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks",1198,86.7bhp@6000rpm,109,White,i-VTEC Petrol Engine,1198,109Nm@4500rpm,4,,No,3990,1680,1505,2405,940kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",4,355,18.0,No,4.5
20,chennai,Petrol,Hatchback,"30,000",Manual,1,Hyundai,Hyundai EON,2016,5548,1.0 Era Plus,275000.0,2016,Third Party insurance,Petrol,5,30000,UP32,998 cc,Manual,2016,"Power Steering,Remote Trunk Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Day Night Rear View Mirror",998,68.05bhp@6200rpm,94,Others,Kappa Engine,998,94.14Nm@3500rpm,3,MPFI,No,3515,1550,1510,2380,880,5 Speed,FWD,Power,Disc,Drum,Tubeless,5,355,20.3,No,4.6
21,chennai,Petrol,Sedan,"30,602",Manual,1,Honda,Honda Amaze,2014,1168,S i-Vtech,429000.0,2014,Comprehensive,Petrol,5,30602,TN07,1198 cc,Manual,2014,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio",1198,86.7bhp@6000rpm,109,Silver,i-VTEC Petrol Engine,1198,109Nm@4500rpm,4,,No,3990,1680,1505,2405,950kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",4,355,18.0,No,4.5
22,chennai,Diesel,Hatchback,"64,500",Manual,1,Maruti,Maruti Swift,2018,4164,VDI BSIV,675000.0,2018,Comprehensive,Diesel,5,64500,TN07,1248 cc,Manual,2018,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",1248,74bhp@4000rpm,190,Red,DDiS Diesel Engine,1248,190Nm@2000rpm,4,CRDI,Yes,3840,1735,1530,2450,960Kg,5 Speed,FWD,Power,Ventilated Disc,Drum,Tubeless Tyres,5,355,25.2,No,4.8
23,chennai,Petrol,Sedan,"46,809",Manual,2,Honda,Honda City,2017,1215,i VTEC V,793000.0,2017,Comprehensive,Petrol,5,46809,TN11,1497 cc,Manual,2017,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",1497,117.3bhp@6600rpm,145,White,i VTEC Engine,1497,145Nm@4600rpm,4,PGM-Fi,No,4440,1695,1495,2600,1049kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",4,355,17.8,No,5.3
24,chennai,Electric,SUV,"20,000",Automatic,1,Tata,Tata Nexon EV,2020,7279,XZ Plus LUX,1100000.0,2020,Third Party insurance,Electric,5,20000,TN01,0 cc,Automatic,2020,"Power Steering,Power Windows Front,Air Conditioner,Digital Odometer,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",0,127bhp,245,Others,,0,245Nm,4,,,3993,1811,1606,2498,1400kg,,,Electric,Disc,Drum,"Tubeless, Radial",5,350,19.7,,5.1
25,chennai,Diesel,SUV,"20,000",Automatic,1,Hyundai,Hyundai Creta,2019,1444,1.6 CRDi AT SX Plus,1425000.0,2019,Comprehensive,Diesel,5,20000,TN18,1582 cc,Automatic,2019,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",1582,126.2bhp@4000rpm,259,White,U2 CRDI VGT Engine,1582,259.9Nm@1900-2750rpm,4,CRDi,Yes,4270,1780,1630,2590,1320,6 Speed,FWD,Power,Disc,Drum,Tubeless,5,355,17.01,No,5.3
26,chennai,Petrol,SUV,"21,725",Automatic,1,Hyundai,Hyundai Venue,2020,6946,SX Plus Turbo DCT BSIV,1036000.0,2020,Third Party,Petrol,5,21725,TN22,998 cc,Automatic,2020,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",998,118.35bhp@6000rpm,171,Red,,998,171.6Nm@1500-4000rpm,3,GDi,Yes,3995,1770,1605,2500,1440,7-Speed,FWD,Power,Disc,Drum,Radial,5,350,18.15,,5.0
