,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Engine Displacement,Transmission,Year of Manufacture,RTO,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,Super Charger,Turning Radius
0,delhi,Diesel,SUV,"10,000",Automatic,1,Kia,Kia Seltos,2022,7121,GTX Plus Diesel AT,1900000.0,2022,Third Party insurance,Diesel,5.0,10000,1493 cc,Automatic,2022,,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",18.0,1493,113.43bhp@4000rpm,250,Gray,1.5 L CRDi VGT,1493,250Nm@1500-2750rpm,4,CRDi,Yes,4315,1800,1645,2610,1540,6-Speed,FWD,Electric,Disc,Disc,"Tubeless, Radial",5,433,,5.0
1,delhi,Petrol,SUV,"57,437",Manual,2,Hyundai,Hyundai Creta,2016,1449,1.6 VTVT S,762000.0,2016,Zero Dep,Petrol,5.0,57437,1591 cc,Manual,2016,HR51,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",15.29,1591,121.3bhp@6400rpm,151,White,VTVT Petrol Engine,1591,151Nm@4850rpm,4,MPFI,No,4270,1780,1630,2590,"1,310",6 Speed,FWD,Power,Disc,Drum,Tubeless,5,355,No,5.3
2,delhi,Petrol,SUV,"8,000",Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,5600000.0,2020,Comprehensive,Petrol,5.0,8000,1991 cc,Automatic,2020,DL01,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",12.74,1991,197bhp@5500-6100rpm,320,Grey,M 264 petrol engine,1991,320nm@1650-4000rpm,4,EFI,No,4658,1890,1644,2873,1585,9 speed Tronic,AWD,Power,Disc,Disc,"Tubeless,Radial",5,355,,5.0
3,delhi,Petrol,Hatchback,"28,151",Manual,2,Maruti,Maruti Swift,2018,10403,VXI,523000.00000000006,2019,Comprehensive,Petrol,5.0,28151,1197 cc,Manual,2018,DL4C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio",22.38,1197,88.50bhp@6000rpm,113,Silver,K Series Dual jet,1197,113Nm@4400rpm,4,,,3845,1735,1530,2450,875-905,5-Speed,,Electric,Disc,Drum,"Radial, Tubeless",5,268,,4.8
4,delhi,Petrol,SUV,"60,000",Manual,1,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,765000.0,2017,Third Party insurance,Petrol,5.0,60000,1591 cc,Manual,2017,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",15.29,1591,121.3bhp@6400rpm,151,White,VTVT Petrol Engine,1591,151Nm@4850rpm,4,MPFI,No,4270,1780,1630,2590,"1,300",6 Speed,FWD,Power,Disc,Drum,Tubeless,5,355,No,5.3
5,delhi,Petrol,SUV,"20,000",Manual,1,Kia,Kia Sonet,2021,8000,HTK Plus BSVI,894999.9999999999,2021,Comprehensive,Petrol,5.0,20000,1197 cc,Manual,2021,DL9X,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.4,1197,81.86bhp@6000rpm,115,White,SMARTSTREAM G1.2,1197,115Nm@4200rpm,4,MPI,No,3995,1790,1642,2500,1192,5-Speed,FWD,Electric,Disc,Drum,"Tubeless, Radial",5,392,,5.0
6,delhi,Cng,Sedan,"42,682",Manual,1,Hyundai,Hyundai Aura,2021,7333,S CNG,708000.0,2022,Third Party,CNG,5.0,42682,1197 cc,Manual,2021,UP14,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",19.7,1197,68.05bhp@6000rpm,95,White,1.2 l Bi-fuel,1197,95.2nm@4000rpm,4,,No,3995,1680,1520,2450,1090,5-Speed,,Electric,Disc,Drum,"Tubeless,Radial",4,355,,5.0
7,delhi,Petrol,Hatchback,"44,653",Manual,1,Volkswagen,Volkswagen Polo,2017,1945,1.2 MPI Trendline,400000.0,2017,Comprehensive,Petrol,5.0,44653,1198 cc,Manual,2017,DL10,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Centeral Locking",18.78,1198,74bhp@5400rpm,110,Grey,MPI Petrol Engine,1198,110Nm@3000-4300rpm,3,MPFI,No,3971,1682,1469,2469,1015Kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,No,4.97
8,delhi,Cng,Hatchback,"7,000",Manual,1,Hyundai,Hyundai Grand i10 Nios,2022,10098,Magna CNG,725000.0,2022,Comprehensive,CNG,5.0,7000,1197 cc,Manual,2022,DL3C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Power Adjustable Exterior Rear View Mirror,Wheel Covers,Anti Lock Braking System,Centeral Locking,Radio",19.7,1197,67.72bhp@6000rpm,95,White,1.2 Bi-Fuel,1197,95.2Nm@4000rpm,4,,,3815,1680,1520,2450,940,5-Speed,,Electric,Disc,Drum,"Tubeless, Radial",4,355,,5.0
9,delhi,Petrol,Hatchback,"67,823",Manual,1,Maruti,Maruti Baleno,2019,6776,Alpha,663000.0,2019,Third Party insurance,Petrol,5.0,67823,1197 cc,Manual,2019,UP16,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",21.01,1197,81.80bhp@6000rpm,113,White,1.2L VVT Engine,1197,113Nm@4200rpm,4,MPFI,No,3995,1745,1510,2520,865-890,5 Speed,FWD,Electric,Disc,Drum,"Tubeless,Radial",5,355,No,4.9
