,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
0,hyderabad,Petrol,Hatchback,"20,000",Automatic,1,Volkswagen,Volkswagen Polo,2022,7746,1.0 TSI Highline Plus AT,1044000.0,2022,Third Party insurance,Petrol,5,20000.0,TS04,999 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",16.47,999.0,108.62bhp@5000-5500rpm,175,Others,1.0L TSI Petrol,999.0,175nm@1750-4000rpm,3,TSI,Yes,No,3971,1682,1469,2470,1106,6 Speed,FWD,Electronic,4.9,Disc,Drum,"Tubeless,Radial",5,280
1,hyderabad,Petrol,Hatchback,"85,582",Manual,2,Hyundai,Hyundai EON,2014,1502,Era Plus,260000.0,2014,Third Party insurance,Petrol,5,85582.0,TS09,814 cc,Manual,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Driver Air Bag",21.1,814.0,55.2bhp@5500rpm,74,Red,Petrol Engine,814.0,74.5Nm@4000rpm,3,MPFI,No,No,3495,1550,1500,2380,880,5 Speed,FWD,Power,4.6,Disc,Drum,Tubeless,5,355
2,hyderabad,Petrol,SUV,"10,000",Manual,1,Hyundai,Hyundai Venue,2023,9153,S BSVI,955000.0000000001,2023,Third Party insurance,Petrol,5,10000.0,,1197 cc,Manual,2023.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio",19.7,1197.0,81.80bhp@6000rpm,113,Others,1.2 Kappa Petrol,1197.0,113.8Nm@4000rpm,4,,No,,3995,1770,1617,2500,1106,5-Speed,,Power,5.0,Disc,Drum,"Tubeless, Radial",5,355
3,hyderabad,Petrol,Hatchback,"50,750",Manual,1,Maruti,Maruti Baleno,2017,3970,1.2 Alpha,671000.0,2017,Third Party insurance,Petrol,5,50750.0,TS07,1197 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",21.4,1197.0,83.1bhp@6000rpm,115,Red,VVT Petrol Engine,1197.0,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,890Kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
4,hyderabad,Petrol,SUV,"10,000",Automatic,1,Mahindra,Mahindra Thar,2022,8074,LX 4-Str Hard Top AT BSVI,1900000.0,2022,Third Party insurance,Petrol,4,10000.0,,1997 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",19.7,1997.0,150bhp@5000rpm,320,Others,mStallion 150 TGDi Engine,1997.0,320Nm@1500-3000rpm,4,,Yes,,3985,1855,1844,2450,1825,6 Speed,4X4,Power,5.0,Disc,Drum,"Radial, Tubeless",3,355
5,hyderabad,Petrol,SUV,"10,000",Manual,1,Kia,Kia Sonet,2021,8008,HTX Plus Turbo iMT BSVI,1178000.0,2021,Third Party insurance,Petrol,5,10000.0,TS09,998 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",18.2,998.0,118.36bhp@6000rpm,172,White,Smartstream G1.0 T - GDi,998.0,172Nm@1500-4000rpm,3,GDi,Yes,,3995,1790,1642,2500,1232,6-Speed iMT,FWD,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,392
6,hyderabad,Petrol,Hatchback,"66,366",Automatic,1,Maruti,Maruti Celerio,2017,6054,ZXI Optional AMT BSIV,488999.99999999994,2017,Zero Dep,Petrol,5,66366.0,TS07,998 cc,Automatic,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",23.1,998.0,67.04bhp@6000rpm,90,White,K10B Engine,998.0,90Nm@3500rpm,3,MPFi,No,No,3695,1600,1560,2425,850kg,5 Speed,FWD,Power,4.7,Ventilated Disc,Drum,"Tubeless, Radial",5,355
7,hyderabad,Petrol,Sedan,"5,000",Automatic,1,Hyundai,Hyundai Verna,2022,7733,SX Opt Turbo,1541000.0,2022,Third Party insurance,Petrol,5,5000.0,,998 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",19.2,998.0,118.41bhp@6000rpm,172,Black,1.0 l Kappa turbo GDi petrol,998.0,172Nm@1500-4000rpm,3,GDi,Yes,,4440,1729,1475,2600,1260,7 Speed DCT,,Electric,5.0,Disc,Disc,"Tubeless, Radial",4,355
8,hyderabad,Petrol,Hatchback,"72,544",Manual,1,Maruti,Maruti Celerio,2017,3983,ZXI Optional,465000.00000000006,2017,Third Party,Petrol,5,72544.0,TS07,998 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",23.1,998.0,67.04bhp@6000rpm,90,White,K10B Engine,998.0,90Nm@3500rpm,3,MPFi,No,No,3715,1635,1565,2425,850kg,5 Speed ,FWD,Power,4.7,Ventilated Disc,Drum,"Tubeless, Radial",5,355
9,hyderabad,Petrol,Hatchback,"29,154",Manual,1,Ford,Ford Figo,2021,7594,Titanium,728000.0,2021,Third Party,Petrol,5,29154.0,TS09,1194 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Centeral Locking,Radio",18.5,1194.0,94.93bhp@6500rpm,119,Maroon,Ti-VCT Petrol Engine,1194.0,119Nm@4250rpm,3,Direct Injection,No,No,3941,1704,1525,2490,1016-1033kg,5 Speed,FWD,Electric,4.9,Ventilated Disc,Drum,Tubeless,5,355
