,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
0,jaipur,Diesel,Hatchback,"1,20,000",Manual,2,Hyundai,Hyundai i20,2015,1487,Asta 1.4 CRDi,509999.99999999994,2015,Third Party insurance,Diesel,5.0,120000.0,RJ13,1396 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",22.54,1396,88.73bhp@4000rpm,219,Others,U2 CRDI Diesel Engine,1396,219.7Nm@1500-2750rpm,4,CRDI,Yes,No,3985,1734,1505,2570,1515kg,6 Speed,FWD,Power,5.2,Disc,Drum,Tubeless,5,355
1,jaipur,Petrol,Hatchback,"66,951",Manual,1,Maruti,Maruti Swift,2012,10403,VXI,381000.0,2012,Third Party,Petrol,5.0,66951.0,RJ14,1197 cc,Manual,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio",22.38,1197,88.50bhp@6000rpm,113,White,K Series Dual jet,1197,113Nm@4400rpm,4,,,,3845,1735,1530,2450,875-905,5-Speed,,Electric,4.8,Disc,Drum,"Radial, Tubeless",5,268
2,jaipur,Petrol,Hatchback,"80,000",Automatic,2,Maruti,Maruti Celerio,2016,3982,VXI AT,320000.0,2016,Third Party insurance,Petrol,5.0,80000.0,RJ14,998 cc,Automatic,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks",23.1,998,67.04bhp@6000rpm,90,Others,K10B Engine,998,90Nm@3500rpm,3,MPFi,No,No,3715,1635,1565,2425,840kg,5 Speed ,FWD,Power,4.7,Ventilated Disc,Drum,"Tubeless, Radial",5,355
3,jaipur,Petrol,Hatchback,"44,392",Manual,1,Hyundai,Hyundai Grand i10,2017,5602,1.2 Kappa Magna BSIV,420000.0,2017,Third Party insurance,Petrol,5.0,44392.0,RJ14,1197 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Speakers Front",18.9,1197,81.86bhp@6000rpm,113,Silver,Kappa VTVT Petrol Engine,1197,113.75nm@4000rpm,4,MPFI,No,No,3765,1660,1520,2425,1100,5 Speed,FWD,Power,4.8,Disc,Drum,Tubeless,5,256
4,jaipur,Petrol,Hatchback,"40,000",Automatic,1,Maruti,Maruti Wagon R,2016,4319,AMT VXI,350000.0,2016,Third Party insurance,Petrol,5.0,40000.0,RJ14,998 cc,Automatic,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player",20.51,998,67bhp@6000rpm,90,Silver,K10B Petrol Engine,998,90Nm@3500rpm,3,,No,No,3599,1495,1700,2400,890kg,5 Speed,FWD,Power,4.6,Ventilated Disc,Drum,Tubeless Tyres,5,355
5,jaipur,Diesel,Sedan,"1,50,000",Manual,2,Hyundai,Hyundai Verna,2007,1796,CRDi,150000.0,2007,Third Party insurance,Diesel,5.0,150000.0,,1493 cc,Manual,2007.0,"Remote Trunk Opener,Remote Fuel Lid Opener,Air Conditioner,Heater,Fog Lights Front,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",16.8,1493,"110 @ 4,000 (PS@rpm)",24,Gray,In-Line Engine,1493,"24 @ 1,900-2,750 (kgm@rpm)",4,CRDI,No,No,4310,1695,1490,2500,1173kg,5 Speed,FWD,Power,5.05,Ventilated Disc,Disc & Drum,"Tubeless,Radial",4,355
6,jaipur,Petrol,Sedan,"91,771",Manual,2,Hyundai,Hyundai Xcent,2016,1861,1.2 Kappa S Celebration Edition,488999.99999999994,2016,Comprehensive,Petrol,5.0,91771.0,RJ32,1197 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",19.1,1197,82bhp@6000rpm,114,White,Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,Direct Injection,No,No,3995,1660,1520,2425,1100,5 Speed ,FWD ,Power,4.7,Disc ,Drum,Tubeless,4,355
7,jaipur,Diesel,Sedan,"90,000",Automatic,1,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,425000.0,2011,Third Party insurance,Diesel,5.0,90000.0,RJ14,1968 cc,Automatic,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.2,1968,138.1bhp@4200rpm,320,Others,Turbocharged Diesel Engin,1968,320Nm@1750-2500rpm,4,Direct Injection,Yes,No,4838,1817,1482,2761,1608kg,6 Speed,FWD,Power,5.4,Disc,Disc,"Tubeless,Radial",4,355
8,jaipur,Diesel,SUV,"58,621",Automatic,1,BMW,BMW X1,2014,345,sDrive20d,1375000.0,2014,Comprehensive,Diesel,5.0,58621.0,DL02,1995 cc,Automatic,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",17.05,1995,184bhp@4000rpm,380,Brown,sDrive20d Diesel Engine,1995,380Nm@1750-2750rpm,4,CRDi,Yes,No,4477,2058,1545,2760,1485,8-Speed ,RWD,Power,5.8,Ventilated Discs,Ventilated Discs,"Tubeless,Radial",5,355
9,jaipur,Diesel,Sedan,"90,000",Automatic,1,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,450000.0,2011,Third Party insurance,Diesel,5.0,90000.0,RJ14,1968 cc,Automatic,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.2,1968,138.1bhp@4200rpm,320,Others,Turbocharged Diesel Engin,1968,320Nm@1750-2500rpm,4,Direct Injection,Yes,No,4838,1817,1482,2761,1608kg,6 Speed,FWD,Power,5.4,Disc,Disc,"Tubeless,Radial",4,355
