,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
0,kolkata,Petrol,Sedan,"70,000",Automatic,3,Toyota,Toyota Camry,2014,2123,Hybrid,975000.0,2014,Third Party insurance,Petrol,5.0,70000,WB02,2494 cc,Automatic,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",19.16,2494,158.2bhp@5700rpm,213,White,2AR FXE Petrol Engine ,2494,213Nm@4500rpm,4,Electronic Fuel Injection(EFI),No,No,4825,1825,1480,2775,1625kg,6 Speed ,FWD,Power,5.5,Ventilated Disc,Solid Disc,"Tubeless,Radial",4,355
1,kolkata,Petrol,Hatchback,"23,981",Manual,1,Datsun,Datsun RediGO,2017,5236,T Option,266000.0,2017,Comprehensive,Petrol,5.0,23981,WB24,799 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",22.7,799,53.64bhp@5678rpm,72,Red,0.8L Petrol Engine,799,72Nm@4386rpm,3,MPFi,No,No,3429,1560,1541,2348,770,5-Speed,2WD,Power,4.7,Disc,Drum,,5,222
2,kolkata,Petrol,SUV,"7,100",Automatic,1,Renault,Renault Kiger,2021,8352,RXT AMT,595000.0,2021,Comprehensive,Petrol,5.0,7100,WB06,999 cc,Automatic,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",19.03,999,71.01bhp@6250rpm,96,Blue,1.0L energy,999,96Nm@3500rpm,3,MPFi,,,3991,1750,1605,2500,1055,5 Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,405
3,kolkata,Petrol,Hatchback,"71,574",Manual,2,Hyundai,Hyundai i20,2011,1642,1.2 Sportz,223000.0,2012,Third Party,Petrol,5.0,71574,WB06,1197 cc,Manual,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Rear,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Cd Player",17.0,1197,80 PS at 5200 rpm,1370,Red,In-Line Engine,1197,"11.4 kgm at 4,000 rpm",4,MPFI,No,No,3940,1710,1505,2523,1020,5 Speed,FWD,Power,5.2,Disc,Drum,"Tubeless,Radial",5,355
4,kolkata,Diesel,SUV,"50,000",Automatic,2,Audi,Audi Q3,2014,99,35 TDI Quattro Premium,1200000.0,2014,Third Party insurance,Diesel,5.0,50000,WB02,1968 cc,Automatic,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",15.73,1968,174.33bhp@4200rpm,380,White,TDI Diesel Engine,1968,380Nm@1750-2500rpm,4,CRDI,Yes,No,4385,2019,1608,2603,1660kg,7-Speed S-Tronic ,AWD,Power,5.9,Ventilated Disc,Drum,"Tubeless,Radial",5,355
5,kolkata,Petrol,Hatchback,"35,629",Automatic,1,Maruti,Maruti Wagon R,2018,7051,VXI AMT 1.2,425000.0,2018,Comprehensive,Petrol,5.0,35629,WB18,1197 cc,Automatic,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",20.52,1197,81.80bhp@6000rpm,113,Brown,K12M Petrol Engine,1197,113Nm@4200rpm,4,MPFI,No,No,3655,1620,1675,2435,830-845kg,5 Speed,FWD,Power,4.7,Disc,Drum,"Tubeless Tyres, Radial",5,355
6,kolkata,Petrol,Hatchback,"11,476",Automatic,2,Hyundai,Hyundai Santro,2020,7463,Sportz AMT,596000.0,2020,Comprehensive,Petrol,5.0,11476,WB02,1086 cc,Automatic,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.3,1086,68.05bhp@5500rpm,99,Silver,1.1 L Petrol,1086,99Nm@4500 rpm,4,MPFI,No,No,3610,1645,1560,2400,1070,5 Speed,FWD,Electric,5.0,Disc,Drum,"Tubeless,Radial",5,235
7,kolkata,Petrol,Hatchback,"31,000",Manual,1,Renault,Renault KWID,2018,5096,RXT Optional,250000.0,2018,Third Party insurance,Petrol,5.0,31000,WB02,799 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",25.17,799,53.3bhp@5678rpm,72,Silver,Petrol Engine,799,72Nm@4386rpm,3,MPFi,No,No,3679,1579,1478,2422,730,5 Speed,FWD,Power,4.9,Disc,Drum,"Tubeless,Radial",5,300
8,kolkata,Petrol,Sedan,"41,005",Manual,2,Maruti,Maruti Swift Dzire,2011,4224,VXi,221000.0,2011,Comprehensive,Petrol,5.0,41005,WB24,1298 cc,Manual,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Fog Lights Rear,Centeral Locking,Power Door Locks,Cd Player",17.5,1298,85.8bhp@6000rpm,114,Silver,In-Line Engine,1298,114Nm@4000rpm,4,MPFI,No,No,4160,1690,1530,2390,1025kg,5 Speed,2 WD,Power,4.7,Ventilated Disc,Drum,"Tubeless,Radial",4,355
9,kolkata,Petrol,Hatchback,"60,055",Manual,1,Maruti,Maruti Wagon R,2010,4348,LX BS IV,208000.0,2010,Third Party,Petrol,5.0,60055,WB06,998 cc,Manual,2010.0,"Low Fuel Warning Light,Rear Seat Headrest,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Day Night Rear View Mirror",18.9,998,67.1bhp@6200rpm,90,Red,K Series Petrol Engine,998,90Nm@3500rpm,3,MPFI,No,No,3595,1475,1670,2400,860kg,5 Speed,FWD,Manual,4.6,Ventilated Disc,Drum,"Tubeless, Radial",4,355
10,kolkata,Petrol,Hatchback,"65,005",Manual,1,Maruti,Maruti Swift,2013,4202,VXI,311000.0,2013,Comprehensive,Petrol,5.0,65005,WB22,1197 cc,Manual,2013.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks",18.6,1197,85.8bhp@6000rpm,114,Grey,K Series Petrol Engine,1197,114Nm@4000rpm,4,MPFI,No,No,3850,1695,1530,2430,970kg,5 Speed,FWD,Power,4.8,Ventilated Disc,Drum,"Tubeless,Radial",5,355
